Date,ES=F,NQ=F,RTY=F,GC=F,SI=F,ZN=F
2002-08-23,752600.0,0.0,0.0,0.0,0.0,0.0
2002-08-26,758200.0,0.0,0.0,0.0,0.0,0.0
2002-08-27,749000.0,0.0,0.0,0.0,0.0,112187.5
2002-08-28,504075.0,0.0,0.0,123759.99755859375,0.0,112578.1021118164
2002-08-29,504075.0,0.0,0.0,125159.99755859375,0.0,226062.60681152344
2002-08-30,501737.5,0.0,0.0,124959.99755859375,110924.99494552612,226343.7957763672
2002-09-02,499675.0,0.0,0.0,0.0,0.0,0.0
2002-09-03,482762.5,0.0,0.0,125359.99755859375,111349.99990463257,228812.60681152344
2002-09-04,489775.0,0.0,0.0,125959.99755859375,111625.00381469727,229250.0
2002-09-05,485787.5,0.0,0.0,127280.0048828125,112874.99666213989,229906.2042236328
2002-09-06,492112.5,0.0,0.0,223929.99572753906,112800.0020980835,342234.3063354492
2002-09-09,495412.5,0.0,0.0,224909.99145507812,114474.99990463257,341906.41021728516
2002-09-10,501187.5,0.0,0.0,222529.99572753906,113925.00400543213,342937.5
2002-09-11,498162.5,0.0,0.0,221620.00427246094,113549.99542236328,341437.5
2002-09-12,489225.0,0.0,0.0,223229.99572753906,114674.99732971191,343406.41021728516
2002-09-13,490325.0,0.0,0.0,221620.00427246094,113849.99752044678,344718.91021728516
2002-09-16,490875.0,0.0,0.0,221970.00427246094,113724.99465942383,345375.0
2002-09-17,654187.5,0.0,0.0,221900.0,114425.00352859497,345656.41021728516
2002-09-18,518250.0,0.0,0.0,224420.00427246094,115474.99895095825,230531.2042236328
2002-09-19,505050.0,0.0,0.0,322600.0061035156,115974.9984741211,231093.7957763672
2002-09-20,381150.0,0.0,0.0,321899.9938964844,115725.00467300415,344062.5
2002-09-23,375187.5,0.0,0.0,323000.0,115674.9963760376,346031.41021728516
2002-09-24,369337.5,0.0,0.0,325899.9938964844,116225.00419616699,346500.0
2002-09-25,378562.5,0.0,0.0,322200.01220703125,114474.99990463257,344062.5
2002-09-26,384525.0,0.0,0.0,320299.98779296875,112625.00286102295,344109.3063354492
2002-09-27,247575.0,0.0,0.0,319700.01220703125,112174.9997138977,345843.91021728516
2002-09-30,244500.0,0.0,0.0,323899.9938964844,113250.00524520874,347718.91021728516
2002-10-01,256350.0,0.0,0.0,320899.9938964844,111749.99475479126,460875.2136230469
2002-10-02,249225.0,0.0,0.0,321500.0,111749.99475479126,461062.4084472656
2002-10-03,246000.0,0.0,0.0,321100.0061035156,111749.99475479126,461375.2136230469
2002-10-04,241800.0,0.0,0.0,322100.0061035156,111874.99761581421,461562.4084472656
2002-10-07,236550.0,0.0,0.0,321899.9938964844,110950.00505447388,462937.5915527344
2002-10-08,240150.0,0.0,0.0,318200.01220703125,109025.0015258789,462375.2136230469
2002-10-09,233475.0,0.0,0.0,319600.0061035156,108449.99551773071,464625.2136230469
2002-10-10,240900.0,0.0,0.0,316500.0,106824.99408721924,462812.4084472656
2002-10-11,251475.0,0.0,0.0,316299.98779296875,107700.00219345093,459250.0
2002-10-14,252675.0,0.0,0.0,317799.98779296875,107449.99647140503,459250.0
2002-10-15,265125.0,0.0,0.0,312600.0061035156,107774.99675750732,453187.5915527344
2002-10-16,258825.0,0.0,0.0,314000.0,108949.99504089355,339375.0
2002-10-17,263625.0,0.0,0.0,311600.0061035156,108325.00457763672,337687.5
2002-10-18,264975.0,0.0,0.0,312700.01220703125,108800.00591278076,225375.0
2002-10-21,269625.0,0.0,0.0,310899.9938964844,108599.99656677246,224281.2042236328
2002-10-22,267450.0,0.0,0.0,313000.0,110099.99513626099,224093.7957763672
2002-10-23,269475.0,0.0,0.0,312000.0,109975.00419616699,224250.0
2002-10-24,264150.0,0.0,0.0,217490.00854492188,108850.00228881836,225468.7957763672
2002-10-25,269625.0,0.0,0.0,219379.99572753906,109975.00419616699,226281.2042236328
2002-10-28,267525.0,0.0,0.0,220640.00854492188,110099.99513626099,226718.7957763672
2002-10-29,264450.0,0.0,0.0,222390.00854492188,112549.9963760376,228781.2042236328
2002-10-30,266925.0,0.0,0.0,221550.0,111975.00228881836,228531.2042236328
2002-10-31,265650.0,0.0,0.0,318000.0,224950.0036239624,229437.60681152344
2002-11-01,269550.0,0.0,0.0,318799.98779296875,224200.01029968262,228500.0
2002-11-04,272250.0,0.0,0.0,318299.98779296875,224049.9973297119,227625.0
2002-11-05,274200.0,0.0,0.0,318200.01220703125,224449.9921798706,227250.0
2002-11-06,462875.0,0.0,0.0,317500.0,223850.01182556152,227687.60681152344
2002-11-07,451375.0,0.0,0.0,320500.0,363520.01190185547,229562.60681152344
2002-11-08,445750.0,0.0,0.0,321299.98779296875,362080.0018310547,345140.6936645508
2002-11-11,438875.0,0.0,0.0,449680.01708984375,365279.9987792969,345140.6936645508
2002-11-12,309662.5,0.0,0.0,454300.0,367519.9890136719,345234.3063354492
2002-11-13,310012.5,0.0,0.0,446180.01708984375,364319.9920654297,345796.8063354492
2002-11-14,315875.0,0.0,0.0,445059.9914550781,364480.01861572266,341859.3063354492
2002-11-15,318150.0,0.0,0.0,448980.01708984375,365839.9963378906,341203.1936645508
2002-11-18,315000.0,0.0,0.0,446880.01708984375,362799.98779296875,341718.91021728516
2002-11-19,314300.0,0.0,0.0,446040.0085449219,363600.0061035156,342421.8063354492
2002-11-20,321562.5,0.0,0.0,444359.9914550781,362639.99938964844,339984.3063354492
2002-11-21,467750.0,0.0,0.0,444359.9914550781,357280.0064086914,338578.1936645508
2002-11-22,464375.0,0.0,0.0,448980.01708984375,363279.99114990234,337968.91021728516
2002-11-25,464875.0,0.0,0.0,444919.98291015625,357680.01556396484,337968.91021728516
2002-11-26,455750.0,0.0,0.0,444780.01708984375,243815.00482559204,340359.3063354492
2002-11-27,468875.0,0.0,0.0,443519.98291015625,242770.00188827515,336515.6936645508
2002-11-28,469750.0,0.0,0.0,0.0,0.0,0.0
2002-11-29,468000.0,0.0,0.0,0.0,0.0,225031.2042236328
2002-12-02,467625.0,0.0,0.0,254080.0048828125,132659.99794006348,449625.2136230469
2002-12-03,461875.0,0.0,0.0,256160.009765625,135960.0019454956,449250.0
2002-12-04,459500.0,0.0,0.0,354420.0134277344,136770.00045776367,451062.4084472656
2002-12-05,454250.0,0.0,0.0,357279.9865722656,138660.00652313232,452812.4084472656
2002-12-06,456875.0,0.0,0.0,358929.9865722656,138959.99908447266,454375.2136230469
2002-12-09,444750.0,0.0,0.0,358379.9865722656,137999.99713897705,455812.4084472656
2002-12-10,451000.0,0.0,0.0,355850.0,138239.99404907227,341953.1936645508
2002-12-11,451125.0,0.0,0.0,357279.9865722656,139019.99473571777,343218.91021728516
2002-12-12,451000.0,0.0,0.0,364539.9932861328,237199.9979019165,457375.2136230469
2002-12-13,443750.0,0.0,0.0,533120.01953125,235199.99980926514,456250.0
2002-12-16,455125.0,0.0,0.0,539200.0,235100.00705718994,340781.41021728516
2002-12-17,451375.0,0.0,0.0,539839.990234375,231999.99332427979,455250.0
2002-12-18,446125.0,0.0,0.0,547360.009765625,233249.99809265137,343031.41021728516
2002-12-19,443000.0,0.0,0.0,553439.990234375,236249.99523162842,459750.0
2002-12-20,445554.99267578125,0.0,0.0,544800.0,231500.0057220459,455125.2136230469
2002-12-23,448500.0,0.0,0.0,552160.009765625,116324.99694824219,454875.2136230469
2002-12-24,445750.0,0.0,0.0,554879.98046875,116425.00162124634,456437.5915527344
2002-12-26,445375.0,0.0,0.0,558239.990234375,117499.99523162842,456937.5915527344
2002-12-27,435875.0,0.0,0.0,558720.01953125,117799.99732971191,460125.2136230469
2002-12-30,438750.0,0.0,0.0,549439.990234375,116550.00448226929,461062.4084472656
2002-12-31,439500.0,0.0,0.0,451880.0079345703,120025.00295639038,460187.5915527344
2003-01-02,453750.0,0.0,0.0,449930.0079345703,120299.99494552612,453625.2136230469
2003-01-03,455000.0,0.0,0.0,456560.0158691406,122300.00495910645,453750.0
2003-01-06,463250.0,0.0,0.0,457210.0158691406,122475.00419616699,452937.5915527344
2003-01-07,461875.0,0.0,0.0,451489.9841308594,120099.99752044678,454125.2136230469
2003-01-08,455000.0,0.0,0.0,460069.9920654297,121399.99866485596,341484.3063354492
2003-01-09,462375.0,0.0,0.0,459289.9841308594,121099.99656677246,337781.41021728516
2003-01-10,602225.0,0.0,0.0,460850.0,121475.00514984131,337687.5
2003-01-13,602225.0,0.0,0.0,461110.0158691406,120700.00171661377,338531.41021728516
2003-01-14,604012.5,0.0,0.0,457600.0,118824.9945640564,339656.41021728516
2003-01-15,598650.0,0.0,0.0,455910.0158691406,119200.00314712524,339984.3063354492
2003-01-16,595725.0,0.0,0.0,465010.0158691406,120574.99885559082,339890.6936645508
2003-01-17,586950.0,0.0,0.0,463580.0079345703,119949.99647140503,341390.6936645508
2003-01-20,587437.5,0.0,0.0,0.0,0.0,0.0
2003-01-21,710800.0,0.0,0.0,357299.98779296875,120200.00219345093,228125.0
2003-01-22,570375.0,0.0,0.0,359700.01220703125,120899.99914169312,229093.7957763672
2003-01-23,573950.0,0.0,0.0,364500.0,238750.00476837158,343078.1936645508
2003-01-24,559162.5,0.0,0.0,368200.01220703125,243750.0,344062.5
2003-01-27,381262.5,0.0,0.0,369399.9938964844,241249.99046325684,342890.6936645508
2003-01-28,384525.0,0.0,0.0,370000.0,243249.9885559082,342468.91021728516
2003-01-29,387337.5,0.0,0.0,366299.98779296875,240000.00953674316,341109.3063354492
2003-01-30,378000.0,0.0,0.0,552900.0091552734,243149.995803833,342140.6936645508
2003-01-31,384637.5,0.0,0.0,552449.9816894531,242650.00820159912,342421.8063354492
2003-02-03,386325.0,0.0,0.0,556199.9816894531,241400.00343322754,341906.41021728516
2003-02-04,382162.5,0.0,0.0,568500.0,245549.98874664307,343312.5
2003-02-05,380025.0,0.0,0.0,564599.9908447266,238050.0078201294,341765.6936645508
2003-02-06,378225.0,0.0,0.0,555150.0091552734,93459.99717712402,343031.41021728516
2003-02-07,373725.0,0.0,0.0,554849.9908447266,92919.99816894531,343734.3063354492
2003-02-10,376200.0,0.0,0.0,436440.0146484375,91920.00389099121,342515.6936645508
2003-02-11,373387.5,0.0,0.0,435000.0,91319.99969482422,343171.8063354492
2003-02-12,367537.5,0.0,0.0,317340.00549316406,90059.99565124512,344437.5
2003-02-13,368550.0,0.0,0.0,321659.99450683594,90579.99610900879,346078.1936645508
2003-02-14,376650.0,0.0,0.0,211139.99633789062,90620.00274658203,344484.3063354492
2003-02-17,378562.5,0.0,0.0,0.0,0.0,0.0
2003-02-18,383175.0,0.0,0.0,103260.00366210938,91020.0023651123,344671.8063354492
2003-02-19,381037.5,0.0,0.0,104969.99816894531,92460.00289916992,346171.8063354492
2003-02-20,377437.5,0.0,0.0,105930.00183105469,93199.99694824219,347109.3063354492
2003-02-21,381262.5,0.0,0.0,105539.99633789062,93260.00213623047,345984.3063354492
2003-02-24,374625.0,0.0,0.0,106889.99633789062,94259.99641418457,347109.3063354492
2003-02-25,377887.5,0.0,0.0,105689.99633789062,92799.99732971191,347671.8063354492
