Date,NQ=F,RTY=F,GC=F,SI=F,ZN=F
2002-08-23,1.0,1.0,1.0,0.9690593918893441,1.0
2002-08-26,1.0,1.0,1.0,0.9680661583891917,1.0
2002-08-27,1.0,1.0,1.0,0.9545823580470345,1.0
2002-08-28,1.0,1.0,1.0,0.960940273250229,1.0
2002-08-29,1.0,1.0,1.0,0.9492457917814711,1.0
2002-08-30,1.0,1.0,1.0,0.9749050370745411,1.0
2002-09-02,1.0,1.0,1.0,1.0,1.0
2002-09-03,1.0,1.0,1.0,0.9979478136477808,1.0
2002-09-04,1.0,1.0,1.0,0.9975553526435679,1.0
2002-09-05,1.0,1.0,1.0,0.9976927538250726,1.0
2002-09-06,1.0,1.0,1.0,0.9957696631237684,1.0
2002-09-09,1.0,1.0,1.0,0.9973355560550661,1.0
2002-09-10,1.0,1.0,1.0,0.9992854151449991,1.0
2002-09-11,1.0,1.0,1.0,0.9994965376288468,1.0
2002-09-12,1.0,1.0,1.0,0.9989547726107089,1.0
2002-09-13,1.0,1.0,1.0,0.9987525010841873,1.0
2002-09-16,1.0,1.0,1.0,0.9987793807328098,1.0
2002-09-17,1.0,1.0,1.0,0.9999015221303529,1.0
2002-09-18,1.0,1.0,1.0,0.9972154598740031,1.0
2002-09-19,1.0,1.0,1.0,0.995865905889518,1.0
2002-09-20,1.0,1.0,1.0,0.9958801545442453,1.0
2002-09-23,1.0,1.0,1.0,0.995817211750503,1.0
2002-09-24,1.0,1.0,1.0,0.9873217093568891,1.0
2002-09-25,1.0,1.0,1.0,0.9738039614101619,1.0
2002-09-26,1.0,1.0,1.0,0.9702647564738386,1.0
2002-09-27,1.0,1.0,1.0,0.9199371670029334,1.0
2002-09-30,1.0,1.0,1.0,0.892855705433066,1.0
2002-10-01,1.0,1.0,1.0,0.8818205609901857,1.0
2002-10-02,1.0,1.0,1.0,0.8808038992594782,1.0
2002-10-03,1.0,1.0,1.0,0.8836977784180986,1.0
2002-10-04,1.0,1.0,1.0,0.9000511306395617,1.0
2002-10-07,1.0,1.0,1.0,0.8986807746061827,1.0
2002-10-08,1.0,1.0,1.0,0.8900645279893754,1.0
2002-10-09,1.0,1.0,1.0,0.9006126504657062,1.0
2002-10-10,1.0,1.0,1.0,0.9050611299465732,1.0
2002-10-11,1.0,1.0,1.0,0.9298542580584402,1.0
2002-10-14,1.0,1.0,1.0,0.9314973315754421,1.0
2002-10-15,1.0,1.0,1.0,0.9916998405946826,1.0
2002-10-16,1.0,1.0,1.0,0.9995054940440907,1.0
2002-10-17,1.0,1.0,1.0,0.9994342936048668,1.0
2002-10-18,1.0,1.0,1.0,1.0,1.0
2002-10-21,1.0,1.0,1.0,1.0,1.0
2002-10-22,1.0,1.0,1.0,1.0,1.0
2002-10-23,1.0,1.0,1.0,1.0,1.0
2002-10-24,1.0,1.0,1.0,1.0,1.0
2002-10-25,1.0,1.0,1.0,1.0,1.0
2002-10-28,1.0,1.0,1.0,1.0,1.0
2002-10-29,1.0,1.0,1.0,1.0,1.0
2002-10-30,1.0,1.0,1.0,1.0,1.0
2002-10-31,1.0,1.0,1.0,1.0,1.0
2002-11-01,1.0,1.0,1.0,1.0,1.0
2002-11-04,1.0,1.0,1.0,1.0,1.0
2002-11-05,1.0,1.0,1.0,1.0,1.0
2002-11-06,1.0,1.0,1.0,1.0,1.0
2002-11-07,1.0,1.0,1.0,1.0,1.0
2002-11-08,1.0,1.0,1.0,1.0,1.0
2002-11-11,1.0,1.0,1.0,1.0,1.0
2002-11-12,1.0,1.0,1.0,1.0,1.0
2002-11-13,1.0,1.0,1.0,1.0,1.0
2002-11-14,1.0,1.0,1.0,1.0,1.0
2002-11-15,1.0,1.0,1.0,1.0,1.0
2002-11-18,1.0,1.0,1.0,1.0,1.0
2002-11-19,1.0,1.0,1.0,1.0,1.0
2002-11-20,1.0,1.0,1.0,1.0,1.0
2002-11-21,1.0,1.0,1.0,1.0,1.0
2002-11-22,1.0,1.0,1.0,1.0,1.0
2002-11-25,1.0,1.0,1.0,1.0,1.0
2002-11-26,1.0,1.0,1.0,1.0,1.0
2002-11-27,1.0,1.0,1.0,1.0,1.0
2002-11-28,1.0,1.0,1.0,1.0,1.0
2002-11-29,1.0,1.0,1.0,1.0,1.0
2002-12-02,1.0,1.0,1.0,1.0,1.0
2002-12-03,1.0,1.0,1.0,1.0,1.0
2002-12-04,1.0,1.0,1.0,1.0,1.0
2002-12-05,1.0,1.0,1.0,1.0,1.0
2002-12-06,1.0,1.0,1.0,1.0,1.0
2002-12-09,1.0,1.0,1.0,1.0,1.0
2002-12-10,1.0,1.0,1.0,1.0,1.0
2002-12-11,1.0,1.0,1.0,1.0,1.0
2002-12-12,1.0,1.0,1.0,1.0,1.0
2002-12-13,1.0,1.0,1.0,1.0,1.0
2002-12-16,1.0,1.0,1.0,1.0,1.0
2002-12-17,1.0,1.0,1.0,1.0,1.0
2002-12-18,1.0,1.0,1.0,1.0,1.0
2002-12-19,1.0,1.0,1.0,1.0,1.0
2002-12-20,1.0,1.0,1.0,1.0,1.0
2002-12-23,1.0,1.0,1.0,1.0,1.0
2002-12-24,1.0,1.0,1.0,1.0,1.0
2002-12-26,1.0,1.0,1.0,1.0,1.0
2002-12-27,1.0,1.0,1.0,1.0,1.0
2002-12-30,1.0,1.0,1.0,1.0,1.0
2002-12-31,1.0,1.0,1.0,1.0,1.0
2003-01-02,1.0,1.0,1.0,1.0,1.0
2003-01-03,1.0,1.0,1.0,1.0,1.0
2003-01-06,1.0,1.0,1.0,1.0,1.0
2003-01-07,1.0,1.0,1.0,1.0,1.0
2003-01-08,1.0,1.0,1.0,1.0,1.0
2003-01-09,1.0,1.0,1.0,1.0,1.0
2003-01-10,1.0,1.0,1.0,1.0,1.0
2003-01-13,1.0,1.0,1.0,1.0,1.0
2003-01-14,1.0,1.0,1.0,0.9960040905485552,1.0
2003-01-15,1.0,1.0,1.0,0.9985546693817227,1.0
2003-01-16,1.0,1.0,1.0,0.999720108118216,1.0
2003-01-17,1.0,1.0,1.0,0.9992970516306766,1.0
2003-01-20,1.0,1.0,1.0,1.0,1.0
2003-01-21,1.0,1.0,1.0,0.9989438571045691,1.0
2003-01-22,1.0,1.0,1.0,0.9984204691502044,1.0
2003-01-23,1.0,1.0,1.0,1.0,1.0
2003-01-24,1.0,1.0,1.0,1.0,1.0
2003-01-27,1.0,1.0,1.0,1.0,1.0
2003-01-28,1.0,1.0,1.0,1.0,1.0
2003-01-29,1.0,1.0,1.0,1.0,1.0
2003-01-30,1.0,1.0,1.0,1.0,1.0
2003-01-31,1.0,1.0,1.0,1.0,1.0
2003-02-03,1.0,1.0,1.0,1.0,1.0
2003-02-04,1.0,1.0,1.0,1.0,1.0
2003-02-05,1.0,1.0,1.0,1.0,1.0
2003-02-06,1.0,1.0,1.0,1.0,1.0
2003-02-07,1.0,1.0,1.0,1.0,1.0
2003-02-10,1.0,1.0,1.0,1.0,1.0
2003-02-11,1.0,1.0,1.0,1.0,1.0
2003-02-12,1.0,1.0,1.0,1.0,1.0
2003-02-13,1.0,1.0,1.0,1.0,1.0
2003-02-14,1.0,1.0,1.0,1.0,1.0
2003-02-17,1.0,1.0,1.0,1.0,1.0
2003-02-18,1.0,1.0,1.0,1.0,1.0
2003-02-19,1.0,1.0,1.0,1.0,1.0
2003-02-20,1.0,1.0,1.0,1.0,1.0
2003-02-21,1.0,1.0,1.0,1.0,1.0
2003-02-24,1.0,1.0,1.0,1.0,1.0
2003-02-25,1.0,1.0,1.0,1.0,1.0
2003-02-26,1.0,1.0,1.0,1.0,1.0
2003-02-27,1.0,1.0,1.0,1.0,1.0
2003-02-28,1.0,1.0,1.0,1.0,1.0
2003-03-03,1.0,1.0,1.0,1.0,1.0
2003-03-04,1.0,1.0,1.0,1.0,1.0
2003-03-05,1.0,1.0,1.0,1.0,1.0
2003-03-06,1.0,1.0,1.0,1.0,1.0
2003-03-07,1.0,1.0,1.0,1.0,1.0
2003-03-10,1.0,1.0,1.0,1.0,1.0
2003-03-11,1.0,1.0,1.0,1.0,1.0
2003-03-12,1.0,1.0,1.0,1.0,1.0
2003-03-13,1.0,1.0,1.0,1.0,1.0
2003-03-14,1.0,1.0,1.0,1.0,1.0
2003-03-17,1.0,1.0,1.0,1.0,1.0
2003-03-18,1.0,1.0,1.0,1.0,1.0
2003-03-19,1.0,1.0,1.0,1.0,1.0
2003-03-20,1.0,1.0,1.0,1.0,1.0
2003-03-21,1.0,1.0,1.0,1.0,1.0
2003-03-24,1.0,1.0,1.0,1.0,1.0
2003-03-25,1.0,1.0,1.0,1.0,1.0
