Date,portfolio_plot,benchmark_plot,es_only_plot,es_weighted_plot,alts_weighted_plot
2002-08-23,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0
2002-08-26,1005692.676777945,1007440.8716449639,1005692.676777945,1005692.676777945,1000000.0
2002-08-27,995795.2431527653,995216.5825139515,996340.4220713212,996340.4220713212,999457.9070414408
2002-08-28,983925.1018048439,974222.694658517,980278.9411621194,985266.6808657295,998652.4960042756
2002-08-29,986264.591281413,974222.694658517,980278.9411621194,985266.6808657295,1001027.0029671184
2002-08-30,981658.2857779633,969705.0225883602,976822.673118367,982892.9008279431,998763.5012818526
2002-09-02,979561.6525896577,965718.8413499865,973773.0248444679,980793.6307394797,998763.5012818526
2002-09-03,962369.2604455516,933032.1551953226,948765.9089984955,963579.6160140805,998763.5012818526
2002-09-04,970831.929801203,946585.1714057929,959134.7131297524,970717.1343148558,1000148.0705286241
2002-09-05,970058.0351922635,938878.5543449373,953238.7264668808,966664.1227869204,1003526.700477479
2002-09-06,974932.3821797812,951102.8434759497,962590.9811735046,973071.3025898879,1001917.7108674791
2002-09-09,980652.6048202927,957480.7334573475,967470.4184117432,976419.5119629912,1004348.7985384465
2002-09-10,984592.8501705707,968642.0409247939,976009.4335786606,982264.7439283156,1002371.8271082032
2002-09-11,978686.6979746744,962795.6417751791,970113.446915789,979196.9530167559,999489.6153977083
2002-09-12,974383.0379695022,945522.1897422267,952768.5723579881,970106.8057000145,1004373.0065335643
2002-09-13,974360.1744876747,947648.1530693591,954903.3261497174,971220.1026524575,1003196.8184212685
2002-09-16,975814.9450745205,948711.1347329257,955970.703045582,971777.4030166523,1004118.9945488191
2002-09-17,961282.2679041827,927185.7560457077,934356.3209043224,956382.1916862365,1005072.3663438708
2002-09-18,959801.7623812022,918150.4119053942,926564.4695645102,951209.046271362,1008960.9324535917
2002-09-19,949481.3369307664,894764.8153069355,906436.7909567764,937910.7238312365,1012217.6342929858
2002-09-20,948276.0146106967,900345.4690406586,910152.27910381,940267.9929602828,1008388.6450447113
2002-09-23,945283.7078809709,886260.961998405,900723.7831903388,934258.0025646746,1011652.0544545227
2002-09-24,943320.335680882,872442.2003720432,891473.1834261782,928380.551543113,1015915.1737516694
2002-09-25,944679.9847873478,894233.3244751523,906060.667669662,937609.701675142,1007280.1139543339
2002-09-26,946976.6595299342,908317.8315174058,915489.1635831334,943625.5138660658,1003266.1544542057
2002-09-27,938737.1453884846,877225.6178580914,894675.3141137722,934721.6651180703,1004003.4782219613
2002-09-30,942879.5713031393,866330.0558065369,889445.1673240353,931609.1467365703,1011777.128144781
2002-10-01,947550.6052453002,908317.8315174058,909522.0184605375,943511.2678933054,1003863.1440150061
2002-10-02,941107.9192449489,883072.0170077062,897450.4940430203,936299.2292461696,1004710.929921355
2002-10-03,937740.9157066421,871644.9641243684,891986.540885618,933037.6085380891,1004616.3082743502
2002-10-04,934805.3219251207,856763.2208344401,884870.6949131867,928789.5149777225,1006045.3507068738
2002-10-07,929722.7560904291,838161.0417220299,875975.8874476476,923486.9752608595,1006319.0505714647
2002-10-08,927092.5735712817,850916.8216848256,882075.1839954458,927122.0078874656,999511.1008674104
2002-10-09,923432.983330498,827265.4796704754,870766.0716464034,920336.3250458398,1002881.1515172285
2002-10-10,924334.853059884,853574.2758437415,883345.8707762371,927858.8933166045,995663.3479192394
2002-10-11,932149.6656609643,891044.3794844537,901262.5543853943,938649.8880543648,992501.6488616802
2002-10-14,934640.2059345728,895296.306138719,903295.6532346603,939878.2538914628,993854.60000081
2002-10-15,936177.8489116228,939410.0451767206,924389.0537957955,952605.2230687897,982031.7934380888
2002-10-16,931861.8835102076,917087.4302418283,913715.2848371489,946088.5843307609,984222.3740449019
2002-10-17,931950.847483959,934095.1368588891,921847.680234213,951042.515756378,979162.7283478254
2002-10-18,935173.316721811,938878.5543449376,924134.9164396373,952442.9708645901,981106.581835244
2002-10-21,936755.2471157011,955354.7701302153,932013.1744805432,957257.2173959314,977807.0820379625
2002-10-22,938013.3248469036,947648.1530693596,928328.1828162485,954997.832218714,981428.1814593186
2002-10-23,939087.0178525747,954823.2792984322,932773.0451754564,957093.6180717326,980397.7806504089
2002-10-24,932828.9387385387,935955.3547701302,921044.6061887529,951576.6979678835,979515.6574289354
2002-10-25,942285.2856027189,955354.7701302153,933103.4237384622,957254.1622466136,983601.1219555456
2002-10-28,942003.2900249236,947913.898485251,928478.1238563819,955085.4963619525,985535.1169842085
2002-10-29,945243.4495083562,937018.3364336963,921705.3633147643,951916.1956409196,992195.3536066022
2002-10-30,946066.8518666073,945787.9351581185,927156.609604359,954449.9163529386,990418.7238335494
2002-10-31,948192.8649945465,941270.2630879616,924348.3918188103,953142.3311362817,994001.2670986048
2002-11-01,951255.1059342098,955089.0247143235,932938.2344569593,957127.5683848565,993055.3739349627
2002-11-04,952449.5383235373,964655.8596864202,938885.0485910624,959889.1958145075,991437.001393592
2002-11-05,954355.5880777573,971565.2404996011,944155.8573577848,961886.9508685933,991357.6597223377
2002-11-06,959430.8272211954,984055.2750465049,956079.9821087301,967885.8175535976,990447.0123974119
2002-11-07,958114.3885810917,959606.6967844802,936191.1926157849,956092.4781644162,1001156.2557394853
2002-11-08,952550.5707970002,947648.1530693591,926470.4387427317,950386.454546949,1001317.4589424003
2002-11-11,948652.1353966115,933032.1551953226,914589.5173423332,943413.5551775852,1004566.0143339923
2002-11-12,958196.0969054045,940473.0268402869,920637.9864188997,945875.1841105709,1012051.3074297966
2002-11-13,947616.3792434697,941536.0085038532,921334.3227747733,946226.401473124,1000501.1694270063
