Date,annualized_alpha
2002-08-26,
2002-08-27,
2002-08-28,
2002-08-29,
2002-08-30,
2002-09-02,
2002-09-03,
2002-09-04,
2002-09-05,
2002-09-06,
2002-09-09,
2002-09-10,
2002-09-11,
2002-09-12,
2002-09-13,
2002-09-16,
2002-09-17,
2002-09-18,
2002-09-19,
2002-09-20,
2002-09-23,
2002-09-24,
2002-09-25,
2002-09-26,
2002-09-27,
2002-09-30,
2002-10-01,
2002-10-02,
2002-10-03,
2002-10-04,
2002-10-07,
2002-10-08,
2002-10-09,
2002-10-10,
2002-10-11,
2002-10-14,
2002-10-15,
2002-10-16,
2002-10-17,
2002-10-18,
2002-10-21,
2002-10-22,
2002-10-23,
2002-10-24,
2002-10-25,
2002-10-28,
2002-10-29,
2002-10-30,
2002-10-31,
2002-11-01,
2002-11-04,
2002-11-05,
2002-11-06,
2002-11-07,
2002-11-08,
2002-11-11,
2002-11-12,
2002-11-13,
2002-11-14,
2002-11-15,
2002-11-18,
2002-11-19,
2002-11-20,
2002-11-21,
2002-11-22,
2002-11-25,
2002-11-26,
2002-11-27,
2002-11-28,
2002-11-29,
2002-12-02,
2002-12-03,
2002-12-04,
2002-12-05,
2002-12-06,
2002-12-09,
2002-12-10,
2002-12-11,
2002-12-12,
2002-12-13,
2002-12-16,
2002-12-17,
2002-12-18,
2002-12-19,
2002-12-20,
2002-12-23,
2002-12-24,
2002-12-26,
2002-12-27,
2002-12-30,
2002-12-31,
2003-01-02,
2003-01-03,
2003-01-06,
2003-01-07,
2003-01-08,
2003-01-09,
2003-01-10,
2003-01-13,
2003-01-14,
2003-01-15,
2003-01-16,
2003-01-17,
2003-01-20,
2003-01-21,
2003-01-22,
2003-01-23,
2003-01-24,
2003-01-27,
2003-01-28,
2003-01-29,
2003-01-30,
2003-01-31,
2003-02-03,
2003-02-04,
2003-02-05,
2003-02-06,
2003-02-07,
2003-02-10,
2003-02-11,
2003-02-12,
2003-02-13,
2003-02-14,
2003-02-17,
2003-02-18,
2003-02-19,
2003-02-20,
2003-02-21,
2003-02-24,
2003-02-25,
2003-02-26,
2003-02-27,
2003-02-28,
2003-03-03,
2003-03-04,
2003-03-05,
2003-03-06,
2003-03-07,
2003-03-10,
2003-03-11,
2003-03-12,
2003-03-13,
2003-03-14,
2003-03-17,
2003-03-18,
2003-03-19,
2003-03-20,
2003-03-21,
2003-03-24,
2003-03-25,
2003-03-26,
2003-03-27,
2003-03-28,
2003-03-31,
2003-04-01,
2003-04-02,
2003-04-03,
2003-04-04,
2003-04-07,
2003-04-08,
2003-04-09,
2003-04-10,
2003-04-11,
2003-04-14,
2003-04-15,
2003-04-16,
2003-04-17,
2003-04-21,
2003-04-22,
2003-04-23,
2003-04-24,
2003-04-25,
2003-04-28,
2003-04-29,
2003-04-30,
2003-05-01,
2003-05-02,
2003-05-05,
2003-05-06,
2003-05-07,
2003-05-08,
2003-05-09,
2003-05-12,
2003-05-13,
2003-05-14,
2003-05-15,
2003-05-16,
2003-05-19,
2003-05-20,
2003-05-21,
2003-05-22,
2003-05-23,
2003-05-26,
2003-05-27,
2003-05-28,
2003-05-29,
2003-05-30,
2003-06-02,
2003-06-03,
2003-06-04,
2003-06-05,
2003-06-06,
2003-06-09,
2003-06-10,
2003-06-11,
2003-06-12,
2003-06-13,
2003-06-16,
2003-06-17,
2003-06-18,
2003-06-19,
2003-06-20,
2003-06-23,
2003-06-24,
2003-06-25,
2003-06-26,
2003-06-27,
2003-06-30,
2003-07-01,
2003-07-02,
2003-07-03,
2003-07-07,
2003-07-08,
2003-07-09,
2003-07-10,
2003-07-11,
2003-07-14,
2003-07-15,
2003-07-16,
2003-07-17,
2003-07-18,
2003-07-21,
2003-07-22,
2003-07-23,
2003-07-24,
2003-07-25,
2003-07-28,
2003-07-29,
2003-07-30,
2003-07-31,
2003-08-01,
2003-08-04,
2003-08-05,
2003-08-06,
2003-08-07,
2003-08-08,
2003-08-11,
2003-08-12,
2003-08-13,
2003-08-14,
2003-08-15,
2003-08-18,0.07510196521612932
2003-08-19,0.08190014701098702
2003-08-20,0.08399123910339676
2003-08-21,0.09070937164129175
2003-08-22,0.08069556529407815
2003-08-25,0.08434791307779331
2003-08-26,0.08726178342766465
2003-08-27,0.09854513871368174
2003-08-28,0.1040332480994115
2003-08-29,0.10993136697285605
2003-09-01,0.11636268590198529
2003-09-02,0.12481016745604304
2003-09-03,0.1297368929991537
2003-09-04,0.14663527752389383
2003-09-05,0.13047138642591286
2003-09-08,0.15967321849520485
2003-09-09,0.13997125389149598
2003-09-10,0.09948173185860218
2003-09-11,0.11060660524330646
2003-09-12,0.11212910333509182
2003-09-15,0.1042256006639722
2003-09-16,0.13632809526939138
2003-09-17,0.12615444355195454
2003-09-18,0.1584196409710466
2003-09-19,0.16952903714679415
2003-09-22,0.1146896797113493
2003-09-23,0.11619654809822468
2003-09-24,0.09401745197051724
2003-09-25,0.07008555493873146
2003-09-26,0.05868596424034732
2003-09-29,0.06341494337768343
2003-09-30,0.04018254528570444
2003-10-01,0.06468708871147935
2003-10-02,0.05109352304505136
2003-10-03,0.07456370752169457
2003-10-06,0.0937430685024148
2003-10-07,0.09985386038003043
2003-10-08,0.11891294495058408
2003-10-09,0.10796146134549782
2003-10-10,0.12636180539194086
2003-10-13,0.13171059817389133
2003-10-14,0.1433389792523131
2003-10-15,0.13203272473978775
2003-10-16,0.1410141905334479
2003-10-17,0.1165539515990314
2003-10-20,0.1307784058457245
2003-10-21,0.12990783858444865
2003-10-22,0.10385762446269631
2003-10-23,0.10325913589205711
2003-10-24,0.09898756936953866
2003-10-27,0.10770748528477617
2003-10-28,0.13465664496009364
2003-10-29,0.1395909534382298
2003-10-30,0.14606256757586303
2003-10-31,0.12212538368466913
2003-11-03,0.1271111739191141
2003-11-04,0.11484895973658615
2003-11-05,0.11712639259454496
2003-11-06,0.13402775654198743
2003-11-07,0.1370146168662809
2003-11-10,0.12566280378192707
2003-11-11,0.1229489504606337
2003-11-12,0.14714154962491863
2003-11-13,0.16072684738568996
