date,alpha_ann,beta_Market (ES),beta_Duration (ZN),beta_Momentum (UMD),beta_Gold (GC),r_squared
2002-08-26,,,,,,
2002-08-27,,,,,,
2002-08-28,,,,,,
2002-08-29,,,,,,
2002-08-30,,,,,,
2002-09-02,,,,,,
2002-09-03,,,,,,
2002-09-04,,,,,,
2002-09-05,,,,,,
2002-09-06,,,,,,
2002-09-09,,,,,,
2002-09-10,,,,,,
2002-09-11,,,,,,
2002-09-12,,,,,,
2002-09-13,,,,,,
2002-09-16,,,,,,
2002-09-17,,,,,,
2002-09-18,,,,,,
2002-09-19,,,,,,
2002-09-20,,,,,,
2002-09-23,,,,,,
2002-09-24,,,,,,
2002-09-25,,,,,,
2002-09-26,,,,,,
2002-09-27,,,,,,
2002-09-30,,,,,,
2002-10-01,,,,,,
2002-10-02,,,,,,
2002-10-03,,,,,,
2002-10-04,,,,,,
2002-10-07,,,,,,
2002-10-08,,,,,,
2002-10-09,,,,,,
2002-10-10,,,,,,
2002-10-11,,,,,,
2002-10-14,,,,,,
2002-10-15,,,,,,
2002-10-16,,,,,,
2002-10-17,,,,,,
2002-10-18,,,,,,
2002-10-21,,,,,,
2002-10-22,,,,,,
2002-10-23,,,,,,
2002-10-24,,,,,,
2002-10-25,,,,,,
2002-10-28,,,,,,
2002-10-29,,,,,,
2002-10-30,,,,,,
2002-10-31,,,,,,
2002-11-01,,,,,,
2002-11-04,,,,,,
2002-11-05,,,,,,
2002-11-06,,,,,,
2002-11-07,,,,,,
2002-11-08,,,,,,
2002-11-11,,,,,,
2002-11-12,,,,,,
2002-11-13,,,,,,
2002-11-14,,,,,,
2002-11-15,,,,,,
2002-11-18,,,,,,
2002-11-19,,,,,,
2002-11-20,,,,,,
2002-11-21,,,,,,
2002-11-22,,,,,,
2002-11-25,,,,,,
2002-11-26,,,,,,
2002-11-27,,,,,,
2002-11-28,,,,,,
2002-11-29,,,,,,
2002-12-02,,,,,,
2002-12-03,,,,,,
2002-12-04,,,,,,
2002-12-05,,,,,,
2002-12-06,,,,,,
2002-12-09,,,,,,
2002-12-10,,,,,,
2002-12-11,,,,,,
2002-12-12,,,,,,
2002-12-13,,,,,,
2002-12-16,,,,,,
2002-12-17,,,,,,
2002-12-18,,,,,,
2002-12-19,,,,,,
2002-12-20,,,,,,
2002-12-23,,,,,,
2002-12-24,,,,,,
2002-12-26,,,,,,
2002-12-27,,,,,,
2002-12-30,,,,,,
2002-12-31,,,,,,
2003-01-02,,,,,,
2003-01-03,,,,,,
2003-01-06,,,,,,
2003-01-07,,,,,,
2003-01-08,,,,,,
2003-01-09,,,,,,
2003-01-10,,,,,,
2003-01-13,,,,,,
2003-01-14,,,,,,
2003-01-15,,,,,,
2003-01-16,,,,,,
2003-01-17,,,,,,
2003-01-20,,,,,,
2003-01-21,,,,,,
2003-01-22,,,,,,
2003-01-23,,,,,,
2003-01-24,,,,,,
2003-01-27,,,,,,
2003-01-28,,,,,,
2003-01-29,,,,,,
2003-01-30,,,,,,
2003-01-31,,,,,,
2003-02-03,,,,,,
2003-02-04,,,,,,
2003-02-05,,,,,,
2003-02-06,,,,,,
2003-02-07,,,,,,
2003-02-10,,,,,,
2003-02-11,,,,,,
2003-02-12,,,,,,
2003-02-13,,,,,,
2003-02-14,,,,,,
2003-02-17,,,,,,
2003-02-18,,,,,,
2003-02-19,,,,,,
2003-02-20,,,,,,
2003-02-21,,,,,,
2003-02-24,,,,,,
2003-02-25,,,,,,
2003-02-26,,,,,,
2003-02-27,-0.16867892074480734,0.40950947718358893,0.44720678893577775,0.014507779282192212,0.5014939713844847,0.7855457556617287
2003-02-28,-0.17497286368265105,0.40643025855677134,0.43702654465417207,0.014705053185328667,0.49742480091983904,0.7841563170623851
2003-03-03,-0.16839888313310103,0.4057928361897148,0.4379835237233211,0.015522589810256546,0.49576289535621165,0.7824220105333495
2003-03-04,-0.17482779328777806,0.40761845747906056,0.44185008051325547,0.015938241192880207,0.4927460433473213,0.7806373720980229
2003-03-05,-0.17522973746288054,0.4074484541867994,0.4412552085800363,0.015873343039486412,0.4927555943280945,0.781229567797836
2003-03-06,-0.1795594101215444,0.4089010447600236,0.44811645128715266,0.015538816063422937,0.4906647782036406,0.7803924037091807
2003-03-07,-0.16329704922692564,0.4124371762649869,0.46863547935169686,0.01985366600968144,0.4786028411966736,0.77214137599081
2003-03-10,-0.16845499824570986,0.4150348700640898,0.47270470653450924,0.020569445967113676,0.47687401836381293,0.7723902602933237
2003-03-11,-0.1571463863207941,0.41071843877869363,0.46277054303858045,0.02316707142864043,0.4696795315279875,0.768728409138512
2003-03-12,-0.1503042507851181,0.41065531147720497,0.46143733105219564,0.025287909187602306,0.4663551398232576,0.7670294289346655
2003-03-13,-0.13115609812748086,0.41168954100826466,0.44152758311935014,0.03716054126512494,0.4492677581988701,0.7573695892581183
2003-03-14,-0.13111627957799513,0.41169923526413627,0.4415708133759979,0.037164364318168566,0.44926944019345505,0.7576116913169699
2003-03-17,-0.1359251313508117,0.40897898470738525,0.44223824563505987,0.03506270540909976,0.44739502696296074,0.7598422422154748
2003-03-18,-0.1357770755619537,0.40896101101810534,0.4420305834562532,0.035104458903085015,0.4474156481482021,0.7598855765756195
2003-03-19,-0.13398211303086985,0.4088006066506676,0.44028037823117416,0.03565010262685353,0.44715798868414947,0.7597381060072517
2003-03-20,-0.12688494283993562,0.40904724490561306,0.44342684540700894,0.037177639521164096,0.44389142721654573,0.7574843752346065
2003-03-21,-0.11794227457289766,0.4000724091115654,0.39166675054461125,0.04354097400031967,0.43831840254730764,0.7560492700480327
2003-03-24,-0.12440128587638408,0.4015396837963897,0.38674576129867533,0.044817402199312496,0.4371109813922325,0.7555849473518031
2003-03-25,-0.12016464673515659,0.4027475905527532,0.39006538928027595,0.04576469296491786,0.436612387832657,0.7557333711389357
2003-03-26,-0.12269255350606052,0.4027129582370518,0.38963232019972116,0.04559942598767326,0.43609441753348044,0.7553850083538364
