Date,ES=F,NQ=F,RTY=F,GC=F,SI=F,ZN=F
2002-08-23,983720.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0
2002-08-26,989320.0000000001,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0
2002-08-27,980120.0,1000000.0,1000000.0,1000000.0,1000000.0,999457.9070414408
2002-08-28,969226.5393012353,1000000.0,1000000.0,998795.4091491147,1000000.0,999856.4338549427
2002-08-29,969226.5393012353,1000000.0,1000000.0,1000240.087057309,1000000.0,1000787.5908381641
2002-08-30,966891.4044024642,1000000.0,1000000.0,1000033.8962452324,997655.1385507375,1001077.6424225691
2002-09-02,964826.3104310409,1000000.0,1000000.0,1000033.8962452324,997655.1385507375,1001077.6424225691
2002-09-03,947892.5398653713,1000000.0,1000000.0,1000033.8962452324,997655.1385507375,1001077.6424225691
2002-09-04,954913.85936821,1000000.0,1000000.0,1000667.6969641193,997944.9436807563,1001540.158180774
2002-09-05,950926.8308679493,1000000.0,1000000.0,1002050.7876883663,999251.1102302704,1002228.3220014976
2002-09-06,957229.7017837245,1000000.0,1000000.0,1003284.6129117821,999172.5803010735,999466.1342105337
2002-09-09,960523.4023082338,1000000.0,1000000.0,1004309.798133767,1000917.6338300614,999124.4236808497
2002-09-10,966273.4738971626,1000000.0,1000000.0,1001832.0498168884,1000346.9821442505,1000192.3206931408
2002-09-11,963255.6266216431,1000000.0,1000000.0,1000890.8018381257,999959.6676984879,998643.3378908382
2002-09-12,954313.4669032183,1000000.0,1000000.0,1002564.5691519866,1001128.1457407097,1000685.6454044232
2002-09-13,955408.6393812755,1000000.0,1000000.0,1000880.5977677426,1000266.473101085,1002055.8826421242
2002-09-16,955956.8668955412,1000000.0,1000000.0,1001246.0741263314,1000136.0229339516,1002741.787992945
2002-09-17,940812.2896055846,1000000.0,1000000.0,1001173.0567193127,1000865.3522087667,1003035.7491912871
2002-09-18,935723.3629980643,1000000.0,1000000.0,1003841.0700684664,1001976.6760426365,1003129.7247715798
2002-09-19,922641.537247264,1000000.0,1000000.0,1005951.507236704,1002507.2844880858,1003727.4440485706
2002-09-20,924960.4300348895,1000000.0,1000000.0,1005197.5881724913,1002238.9609059055,1000951.4736420389
2002-09-23,919048.2822829217,1000000.0,1000000.0,1006382.9208734607,1002185.2321135198,1003064.1485246419
2002-09-24,913266.5161639911,1000000.0,1000000.0,1009521.4536448846,1002777.997982478,1003569.6097537463
