Date,ES=F,NQ=F,RTY=F,GC=F,SI=F,ZN=F
2002-08-23,16.0,0.0,0.0,0.0,0.0,0.0
2002-08-26,14.0,0.0,0.0,1.0,1.0,0.0
2002-08-27,14.0,0.0,0.0,3.0,2.0,1.0
2002-08-28,11.0,0.0,0.0,4.0,3.0,1.0
2002-08-29,10.0,0.0,0.0,5.0,4.0,2.0
2002-08-30,9.0,0.0,0.0,5.0,5.0,2.0
2002-09-02,11.0,0.0,0.0,0.0,0.0,0.0
2002-09-03,12.0,0.0,0.0,5.0,4.0,2.0
2002-09-04,12.0,0.0,0.0,6.0,4.0,2.0
2002-09-05,11.0,0.0,0.0,7.0,5.0,2.0
2002-09-06,11.0,0.0,0.0,7.0,5.0,3.0
2002-09-09,10.0,0.0,0.0,9.0,5.0,3.0
2002-09-10,10.0,0.0,0.0,6.0,5.0,3.0
2002-09-11,12.0,0.0,0.0,6.0,6.0,3.0
2002-09-12,13.0,0.0,0.0,6.0,5.0,3.0
2002-09-13,13.0,0.0,0.0,5.0,5.0,3.0
2002-09-16,13.0,0.0,0.0,5.0,6.0,3.0
2002-09-17,15.0,0.0,0.0,5.0,5.0,3.0
2002-09-18,12.0,0.0,0.0,9.0,6.0,2.0
2002-09-19,10.0,0.0,0.0,10.0,6.0,2.0
2002-09-20,9.0,0.0,0.0,10.0,6.0,3.0
2002-09-23,8.0,0.0,0.0,10.0,6.0,3.0
2002-09-24,7.0,0.0,0.0,11.0,7.0,3.0
2002-09-25,7.0,0.0,0.0,11.0,7.0,3.0
2002-09-26,7.0,0.0,0.0,9.0,6.0,3.0
2002-09-27,6.0,0.0,0.0,10.0,5.0,3.0
2002-09-30,5.0,0.0,0.0,11.0,5.0,3.0
2002-10-01,6.0,0.0,0.0,11.0,6.0,4.0
2002-10-02,5.0,0.0,0.0,10.0,5.0,4.0
2002-10-03,6.0,0.0,0.0,10.0,6.0,4.0
2002-10-04,5.0,0.0,0.0,11.0,6.0,4.0
2002-10-07,5.0,0.0,0.0,12.0,6.0,4.0
2002-10-08,4.0,0.0,0.0,11.0,6.0,4.0
2002-10-09,4.0,0.0,0.0,10.0,5.0,4.0
2002-10-10,4.0,0.0,0.0,11.0,5.0,4.0
2002-10-11,5.0,0.0,0.0,10.0,5.0,4.0
2002-10-14,5.0,0.0,0.0,11.0,5.0,4.0
2002-10-15,6.0,0.0,0.0,11.0,5.0,4.0
2002-10-16,5.0,0.0,0.0,9.0,6.0,3.0
2002-10-17,5.0,0.0,0.0,9.0,6.0,3.0
2002-10-18,6.0,0.0,0.0,9.0,6.0,2.0
2002-10-21,6.0,0.0,0.0,8.0,6.0,2.0
2002-10-22,6.0,0.0,0.0,8.0,6.0,2.0
2002-10-23,7.0,0.0,0.0,8.0,6.0,2.0
2002-10-24,7.0,0.0,0.0,7.0,6.0,2.0
2002-10-25,7.0,0.0,0.0,8.0,7.0,2.0
2002-10-28,7.0,0.0,0.0,9.0,8.0,2.0
2002-10-29,7.0,0.0,0.0,9.0,9.0,2.0
2002-10-30,7.0,0.0,0.0,9.0,9.0,2.0
2002-10-31,6.0,0.0,0.0,10.0,10.0,2.0
2002-11-01,7.0,0.0,0.0,10.0,11.0,2.0
2002-11-04,8.0,0.0,0.0,10.0,11.0,2.0
2002-11-05,8.0,0.0,0.0,10.0,11.0,2.0
2002-11-06,10.0,0.0,0.0,10.0,12.0,2.0
2002-11-07,8.0,0.0,0.0,12.0,16.0,2.0
2002-11-08,8.0,0.0,0.0,12.0,16.0,3.0
2002-11-11,8.0,0.0,0.0,14.0,19.0,3.0
2002-11-12,7.0,0.0,0.0,14.0,19.0,3.0
2002-11-13,7.0,0.0,0.0,14.0,19.0,3.0
2002-11-14,8.0,0.0,0.0,13.0,19.0,3.0
2002-11-15,9.0,0.0,0.0,13.0,19.0,3.0
2002-11-18,9.0,0.0,0.0,14.0,19.0,3.0
2002-11-19,8.0,0.0,0.0,13.0,19.0,3.0
2002-11-20,9.0,0.0,0.0,13.0,19.0,3.0
2002-11-21,10.0,0.0,0.0,13.0,19.0,3.0
2002-11-22,10.0,0.0,0.0,14.0,15.0,3.0
2002-11-25,11.0,0.0,0.0,14.0,16.0,3.0
2002-11-26,11.0,0.0,0.0,12.0,11.0,3.0
2002-11-27,10.0,0.0,0.0,12.0,11.0,3.0
2002-11-28,10.0,0.0,0.0,0.0,0.0,0.0
2002-11-29,11.0,0.0,0.0,0.0,0.0,2.0
2002-12-02,11.0,0.0,0.0,8.0,6.0,4.0
2002-12-03,12.0,0.0,0.0,10.0,8.0,4.0
2002-12-04,11.0,0.0,0.0,11.0,8.0,4.0
2002-12-05,10.0,0.0,0.0,11.0,9.0,4.0
