Date,beta
2002-08-26,
2002-08-27,
2002-08-28,
2002-08-29,
2002-08-30,
2002-09-02,
2002-09-03,
2002-09-04,
2002-09-05,
2002-09-06,
2002-09-09,
2002-09-10,
2002-09-11,
2002-09-12,
2002-09-13,
2002-09-16,
2002-09-17,
2002-09-18,
2002-09-19,
2002-09-20,
2002-09-23,
2002-09-24,
2002-09-25,
2002-09-26,
2002-09-27,
2002-09-30,
2002-10-01,
2002-10-02,
2002-10-03,
2002-10-04,
2002-10-07,
2002-10-08,
2002-10-09,
2002-10-10,
2002-10-11,
2002-10-14,
2002-10-15,
2002-10-16,
2002-10-17,
2002-10-18,
2002-10-21,
2002-10-22,
2002-10-23,
2002-10-24,
2002-10-25,
2002-10-28,
2002-10-29,
2002-10-30,
2002-10-31,
2002-11-01,
2002-11-04,
2002-11-05,
2002-11-06,
2002-11-07,
2002-11-08,
2002-11-11,
2002-11-12,
2002-11-13,
2002-11-14,
2002-11-15,
2002-11-18,
2002-11-19,
2002-11-20,
2002-11-21,
2002-11-22,
2002-11-25,
2002-11-26,
2002-11-27,
2002-11-28,
2002-11-29,
2002-12-02,
2002-12-03,
2002-12-04,
2002-12-05,
2002-12-06,
2002-12-09,
2002-12-10,
2002-12-11,
2002-12-12,
2002-12-13,
2002-12-16,
2002-12-17,
2002-12-18,
2002-12-19,
2002-12-20,
2002-12-23,
2002-12-24,
2002-12-26,
2002-12-27,
2002-12-30,
2002-12-31,
2003-01-02,
2003-01-03,
2003-01-06,
2003-01-07,
2003-01-08,
2003-01-09,
2003-01-10,
2003-01-13,
2003-01-14,
2003-01-15,
2003-01-16,
2003-01-17,
2003-01-20,
2003-01-21,
2003-01-22,
2003-01-23,
2003-01-24,
2003-01-27,
2003-01-28,
2003-01-29,
2003-01-30,
2003-01-31,
2003-02-03,
2003-02-04,
2003-02-05,
2003-02-06,
2003-02-07,
2003-02-10,
2003-02-11,
2003-02-12,
2003-02-13,
2003-02-14,
2003-02-17,
2003-02-18,
2003-02-19,
2003-02-20,
2003-02-21,
2003-02-24,
2003-02-25,
2003-02-26,
2003-02-27,
2003-02-28,
2003-03-03,
2003-03-04,
2003-03-05,
2003-03-06,
2003-03-07,
2003-03-10,
2003-03-11,
2003-03-12,
2003-03-13,
2003-03-14,
2003-03-17,
2003-03-18,
2003-03-19,
2003-03-20,
2003-03-21,
2003-03-24,
2003-03-25,
2003-03-26,
2003-03-27,
2003-03-28,
2003-03-31,
2003-04-01,
2003-04-02,
2003-04-03,
2003-04-04,
2003-04-07,
2003-04-08,
2003-04-09,
2003-04-10,
2003-04-11,
2003-04-14,
2003-04-15,
2003-04-16,
2003-04-17,
2003-04-21,
2003-04-22,
2003-04-23,
2003-04-24,
2003-04-25,
2003-04-28,
2003-04-29,
2003-04-30,
2003-05-01,
2003-05-02,
2003-05-05,
2003-05-06,
2003-05-07,
2003-05-08,
2003-05-09,
2003-05-12,
2003-05-13,
2003-05-14,
2003-05-15,
2003-05-16,
2003-05-19,
2003-05-20,
2003-05-21,
2003-05-22,
2003-05-23,
2003-05-26,
2003-05-27,
2003-05-28,
2003-05-29,
2003-05-30,
2003-06-02,
2003-06-03,
2003-06-04,
2003-06-05,
2003-06-06,
2003-06-09,
2003-06-10,
2003-06-11,
2003-06-12,
2003-06-13,
2003-06-16,
2003-06-17,
2003-06-18,
2003-06-19,
2003-06-20,
2003-06-23,
2003-06-24,
2003-06-25,
2003-06-26,
2003-06-27,
2003-06-30,
2003-07-01,
2003-07-02,
2003-07-03,
2003-07-07,
2003-07-08,
2003-07-09,
2003-07-10,
2003-07-11,
2003-07-14,
2003-07-15,
2003-07-16,
2003-07-17,
2003-07-18,
2003-07-21,
2003-07-22,
2003-07-23,
2003-07-24,
2003-07-25,
2003-07-28,
2003-07-29,
2003-07-30,
2003-07-31,
2003-08-01,
2003-08-04,
2003-08-05,
2003-08-06,
2003-08-07,
2003-08-08,
2003-08-11,
2003-08-12,
2003-08-13,
2003-08-14,
2003-08-15,
2003-08-18,0.45253120453818085
2003-08-19,0.452949134306246
2003-08-20,0.4519894686347878
2003-08-21,0.4509812775901608
2003-08-22,0.4525998387563226
2003-08-25,0.45230877684615767
2003-08-26,0.4523130614600823
2003-08-27,0.4503609600650864
2003-08-28,0.4505879080828918
2003-08-29,0.45212302354675926
2003-09-01,0.45287572370208984
2003-09-02,0.4547678263273642
2003-09-03,0.4554909172203948
2003-09-04,0.45513029076150086
2003-09-05,0.4581514289853159
2003-09-08,0.46273328769370026
2003-09-09,0.4655549777692782
2003-09-10,0.47352676978360775
2003-09-11,0.47489329381242
2003-09-12,0.4754405698116634
2003-09-15,0.47714982193016214
2003-09-16,0.49058531784278114
2003-09-17,0.4927664379800478
2003-09-18,0.5046454245774272
2003-09-19,0.50664924454188
2003-09-22,0.5307838406965705
2003-09-23,0.5350251592577634
2003-09-24,0.5760176093358256
2003-09-25,0.5855743119915059
2003-09-26,0.5875823062647186
2003-09-29,0.5934009247639056
2003-09-30,0.6014644007756085
2003-10-01,0.6142380778495955
2003-10-02,0.6238429233461242
2003-10-03,0.6409747393923197
2003-10-06,0.6650442923409354
2003-10-07,0.6655376854438344
2003-10-08,0.7108458323118385
2003-10-09,0.7197055110340244
2003-10-10,0.7272630869264304
2003-10-13,0.72780362535373
2003-10-14,0.7338232300342874
2003-10-15,0.7360656444296809
2003-10-16,0.7376113789827081
2003-10-17,0.7477243082904915
2003-10-20,0.7532584616659433
2003-10-21,0.7542710297647516
2003-10-22,0.7638993148580068
2003-10-23,0.7662746051573354
2003-10-24,0.7672426881481098
2003-10-27,0.7709710085947631
2003-10-28,0.7818356895233768
2003-10-29,0.7827111871845436
2003-10-30,0.7848389525144245
2003-10-31,0.7992012941129012
2003-11-03,0.8018896173912023
2003-11-04,0.8063121136994998
2003-11-05,0.8056388147028608
2003-11-06,0.8063869568227331
2003-11-07,0.8179101747789341
2003-11-10,0.8192671044899857
2003-11-11,0.8191646794403885
2003-11-12,0.8282730593286844
2003-11-13,0.8413573445756478
